"","dominance10","prestige10","leadership10","dominance6","prestige6","leadership6","dominance4","prestige4","leadership4","MFQ_harm_s","MFQ_fair_s","MFQ_ingroup_s","MFQ_authority_s","MFQ_purity_s","gender","age","employment_rank"
"154",32,37,50,18,23,30,11,15,20,-0.406203106604696,0.384493773634931,0.601164986343673,-0.0801189040324088,-0.432435741405241,"male","4",9
"158",19,44,46,11,27,30,6,18,20,0.0406606678775125,0.0553269561125515,0.395147378359494,0.0651495441616249,-0.369860680956937,"male","2",8
"159",32,47,54,17,26,34,11,17,23,-1.15846464165765,0.518889806368496,-0.933771626017239,0.401387452376311,-0.062278648018642,"male","2",5
"160",46,44,58,29,26,35,19,16,23,-0.976015691081368,-1.6275177718385,0.302334021887837,1.1599640990379,-0.0102901261767827,"male","3",8
"161",38,43,48,21,26,28,15,17,19,-0.000322268787309145,0.750671231496468,1.51804877475205,1.71410467954364,2.13219756578484,"male","3",5
"164",21,42,40,13,25,24,8,17,17,-0.670617930510621,-1.95668458936088,-0.707363122992195,-0.416356812247095,-1.2247384500203,"male","3",6
"165",20,36,50,9,22,32,5,14,21,1.76861562522453,1.07983804901885,0.20952066541618,1.08732987494088,0.730024060596415,"female","4",10
"166",39,48,50,25,30,30,17,20,20,-0.6296349938458,0.287108381240524,0.899995950799509,0.474021676473328,0.730024060596415,"female","4",6
"167",27,40,52,17,22,33,11,12,22,-0.264737092693235,-0.334214613465079,0.920386845840375,0.474021676473328,0.667449000148112,"male","2",6
"168",25,32,52,14,20,33,8,14,22,-0.223754156028413,0.65328583910206,0.189129770375314,-0.54815865430593,-0.250003829363553,"male","4",10
"169",13,37,33,6,21,20,4,13,13,0.223109618453795,0.848056623890875,-0.521736410048881,0.619290124667362,-0.0049968568735606,"female","4",2
"170",26,41,52,14,25,32,8,18,21,-0.52915191659916,0.189722988846116,0.807182594327852,1.5823028374848,1.52232676921147,"male","4",4
"171",26,40,49,15,26,30,9,17,20,-1.42287946556358,-0.83478810406018,-1.41822930341639,-2.21058039582314,-1.34988857091691,"male","3",10
"172",23,24,51,12,14,32,7,9,21,0.710956329600825,1.54340089927479,0.302334021887837,0.19695138622046,0.604873939699808,"male","4",9
"173",27,36,48,18,21,33,7,14,22,1.01635409017157,0.518889806368496,0.0963164139036573,0.67845774262918,1.09488788467979,"male","3",8
"175",29,36,40,18,21,23,11,14,16,1.2807689140775,0.189722988846116,-0.016887837608865,0.342219834414493,0.730024060596415,"female","2",2
"177",19,38,35,11,25,23,6,16,15,-0.711600867175443,-0.5056212865378,0.69397834281533,-0.00748467993539193,1.27731979672148,"male","5",10
