"","dominance10","prestige10","leadership10","dominance6","prestige6","leadership6","dominance4","prestige4","leadership4","MFQ_harm_s","MFQ_fair_s","MFQ_ingroup_s","MFQ_authority_s","MFQ_purity_s","gender","age","employment_rank","percentage"
"146",NA,NA,NA,18,25,20,11,15,14,0.392681458774471,-0.514312825026377,0.39545704055221,0.429094510328282,0.0100584368242115,"male",48,0,0
"147",NA,NA,NA,19,24,27,12,15,18,0.616954358386058,0.682269466701658,0.2090805432911,-0.143725831129376,1.51882396045597,"female",56,7,0
"148",NA,NA,NA,13,24,21,9,17,14,0.616954358386058,-1.2322622000632,0.58183353781332,0.429094510328282,0.512980278034798,"female",47,0,0
"149",NA,NA,NA,23,29,24,15,19,16,1.28977305722082,1.16090238339287,1.32733952685776,1.00191485178594,1.01590211924538,"female",34,1,0
"150",NA,NA,NA,12,19,18,8,13,12,-0.728683039283468,-1.47157865840881,-0.16367245123112,0.0472142826898431,-0.995785245596961,"male",37,4,0
"151",NA,NA,NA,9,23,31,5,13,20,1.06550015760923,-0.0356799083351631,0.0227040460299897,0.429094510328282,-0.828144631860099,"female",44,6,100
"152",NA,NA,NA,18,23,33,12,13,23,1.738318856444,1.40021884173848,0.0227040460299897,1.76567530706282,2.02174580166656,"female",45,7,0
"153",NA,NA,NA,19,31,28,10,24,19,0.392681458774471,1.87885175842969,-0.16367245123112,-1.28936651404469,-0.995785245596961,"female",52,9,0
"154",NA,NA,NA,10,19,32,6,14,20,-1.85004753734141,-2.18952803344563,0.95458653233554,1.00191485178594,0.512980278034798,"male",38,6,0
"155",NA,NA,NA,15,21,23,10,14,16,-1.17722883850664,-0.992945741717592,-1.28193143479778,-1.48030662786391,-1.33106647307069,"male",47,1,100
"156",NA,NA,NA,20,23,22,15,16,14,0.616954358386058,0.921585925047265,-0.536425445753341,-1.28936651404469,-0.492863404386375,"female",35,2,50
"157",NA,NA,NA,14,24,26,7,18,21,-1.85004753734141,-1.2322622000632,-0.536425445753341,0.238154396509063,0.177699050561074,"male",31,4,0
"158",NA,NA,NA,14,28,29,10,18,19,0.168408559162883,0.682269466701658,-1.28193143479778,-1.28936651404469,-0.157582176912651,"female",29,4,50
"160",NA,NA,NA,29,29,21,18,20,13,-0.50441013967188,-0.992945741717592,-0.16367245123112,-0.143725831129376,0.345339664297936,"male",26,0,0
"161",NA,NA,NA,18,23,25,10,15,16,-0.50441013967188,-1.2322622000632,-0.536425445753341,-1.28936651404469,-0.660504018123237,"male",33,7,0
"162",NA,NA,NA,16,22,15,10,16,10,0.841227257997646,0.203636550010444,-1.28193143479778,-1.48030662786391,-0.660504018123237,"female",31,1,0
"163",NA,NA,NA,11,28,22,7,18,15,0.168408559162883,-0.0356799083351631,0.2090805432911,0.429094510328282,-0.157582176912651,"female",32,5,0
"164",NA,NA,NA,20,14,10,13,12,7,0.168408559162883,0.682269466701658,-1.65468442932,-1.09842640022547,-0.995785245596961,"female",27,2,0
"165",NA,NA,NA,7,18,27,4,12,18,0.841227257997646,0.682269466701658,1.32733952685776,0.0472142826898431,1.01590211924538,"female",49,2,0
"166",NA,NA,NA,35,30,36,23,20,24,-0.728683039283468,-0.514312825026377,2.25922201316331,1.76567530706282,1.51882396045597,"male",54,11,0
"168",NA,NA,NA,25,35,31,13,24,22,1.738318856444,0.442953008356051,-0.16367245123112,-0.334665944948596,0.68062089177166,"female",33,10,100
"169",NA,NA,NA,10,22,28,6,14,19,0.841227257997646,0.682269466701658,0.95458653233554,0.429094510328282,1.18354273298225,"female",40,10,0
"170",NA,NA,NA,22,16,22,13,11,15,-1.17722883850664,-0.753629283371985,-0.16367245123112,0.0472142826898431,0.177699050561074,"male",45,10,0
"171",NA,NA,NA,21,28,26,12,20,16,-1.40150173811823,-0.0356799083351631,0.39545704055221,0.429094510328282,-0.157582176912651,"male",39,9,0
"172",NA,NA,NA,18,18,21,12,12,14,-0.952955938895056,-0.27499636668077,0.58183353781332,-0.143725831129376,0.512980278034798,"female",31,0,0
"173",NA,NA,NA,21,27,24,12,18,16,0.392681458774471,-0.753629283371985,1.14096302959665,0.238154396509063,0.512980278034798,"male",34,0,40
"174",NA,NA,NA,20,22,24,11,15,17,-2.74713913578776,-0.514312825026377,0.0227040460299897,-1.67124674168313,0.345339664297936,"male",21,9,0
"175",NA,NA,NA,17,22,24,11,13,16,0.841227257997646,0.203636550010444,0.0227040460299897,-0.143725831129376,-0.325222790649513,"male",33,1,0
"176",NA,NA,NA,8,7,15,6,4,10,0.168408559162883,0.203636550010444,0.2090805432911,1.19285496560516,0.345339664297936,"male",48,1,0
"177",NA,NA,NA,13,16,15,7,7,11,-0.0558643404487048,1.40021884173848,-0.16367245123112,-0.525606058767815,0.0100584368242115,"female",56,2,0
"178",NA,NA,NA,17,22,26,11,15,18,0.168408559162883,-0.27499636668077,0.39545704055221,0.429094510328282,1.35118334671911,"female",38,10,0
"179",NA,NA,NA,14,22,25,7,15,16,1.06550015760923,0.682269466701658,0.0227040460299897,0.620034624147501,0.0100584368242115,"female",53,2,0
